 select count(*) from tag, site, question, tag_question where site.site_name='scifi' and tag.name='steins-gate' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='pm' and tag.name='delays' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='diy' and tag.name='rivets' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='softwareengineering' and tag.name='heatmap' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='sharepoint' and tag.name='olap' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='wordpress' and tag.name='simplepie' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='firebase-util' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='emacs' and tag.name='line-numbers' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='raspberrypi' and tag.name='timekeeping' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='pt' and tag.name='ckeditor' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='static-allocation' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='serverfault' and tag.name='psql' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='askubuntu' and tag.name='at-command' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='webpack.config.js' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='electronics' and tag.name='ecg' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='serverfault' and tag.name='discovery' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='superuser' and tag.name='burn-in' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='linguistics' and tag.name='mandarin' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='python-descriptors' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='hipi' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='graphicdesign' and tag.name='painting' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='magento' and tag.name='timezone' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='typekit' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='containstable' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='security-context' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='railsinstaller' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='long-filenames' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='appgyver' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='match-phrase' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='wordpress-admin' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='report-viewer2012' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='philosophy' and tag.name='christianity' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='colorize' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='photo' and tag.name='nikon-d5300' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='bicycles' and tag.name='headlights' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='startupscript' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='swagger' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='islam' and tag.name='sharia' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='dynamics-ax-2012-r3' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='computergraphics' and tag.name='algorithm' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='islam' and tag.name='clothing' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='rowid' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='controlsfx' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='offline-caching' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
